opprettet,Første,Andre,Tredje,Fjerde,Femte,Sjette,Syvende
2022-01-25,506.0,213.0,192.0,33.0,187.22,106.5,249.60000000000002
2022-01-26,531.0,189.0,124.0,23.0,196.47,94.5,161.20000000000002
2022-01-27,467.0,178.0,152.0,19.0,172.79,89.0,197.6
2022-01-28,673.0,222.0,111.0,17.0,249.01,111.0,144.3
2022-01-29,5.0,1.0,6.0,,1.85,0.5,7.800000000000001
2022-01-30,4.0,5.0,4.0,,1.48,2.5,5.2
2022-01-31,917.0,356.0,311.0,73.0,339.29,178.0,404.3
2022-02-01,1046.0,435.0,414.0,111.0,387.02,217.5,538.2
2022-02-02,686.0,282.0,172.0,31.0,253.82,141.0,223.6
2022-02-03,572.0,323.0,150.0,32.0,211.64,161.5,195.0
2022-02-04,370.0,164.0,59.0,2.0,136.9,82.0,76.7
2022-02-05,26.0,27.0,9.0,2.0,9.62,13.5,11.700000000000001
2022-02-06,,1.0,,,,0.5,
2022-02-07,391.0,157.0,93.0,13.0,144.67,78.5,120.9
2022-02-08,401.0,99.0,121.0,8.0,148.37,49.5,157.3
2022-02-09,362.0,66.0,93.0,10.0,133.94,33.0,120.9
2022-02-10,211.0,46.0,39.0,4.0,78.07,23.0,50.7
2022-02-11,219.0,41.0,19.0,,81.03,20.5,24.7
2022-02-12,31.0,5.0,10.0,1.0,11.47,2.5,13.0
2022-02-14,506.0,87.0,51.0,4.0,187.22,43.5,66.3
2022-02-15,232.0,34.0,79.0,3.0,85.84,17.0,102.7
2022-02-16,198.0,35.0,9.0,2.0,73.26,17.5,11.700000000000001
2022-02-17,271.0,38.0,26.0,3.0,100.27,19.0,33.800000000000004
2022-02-18,201.0,54.0,21.0,3.0,74.37,27.0,27.3
2022-02-19,83.0,14.0,18.0,,30.71,7.0,23.400000000000002
2022-02-21,347.0,63.0,70.0,8.0,128.39,31.5,91.0
2022-02-22,354.0,85.0,30.0,2.0,130.98,42.5,39.0
2022-02-23,314.0,68.0,37.0,3.0,116.17999999999999,34.0,48.1
2022-02-24,403.0,150.0,43.0,3.0,149.10999999999999,75.0,55.9
2022-02-25,317.0,91.0,34.0,2.0,117.28999999999999,45.5,44.2
2022-02-28,288.0,67.0,68.0,4.0,106.56,33.5,88.4
2022-03-01,142.0,26.0,43.0,9.0,52.54,13.0,55.9
2022-03-02,185.0,27.0,72.0,1.0,68.45,13.5,93.60000000000001
2022-03-03,228.0,34.0,82.0,,84.36,17.0,106.60000000000001
2022-03-04,231.0,43.0,93.0,1.0,85.47,21.5,120.9
2022-03-05,14.0,2.0,7.0,1.0,5.18,1.0,9.1
2022-03-07,183.0,23.0,47.0,,67.71,11.5,61.1
2022-03-08,9.0,1.0,3.0,,3.33,0.5,3.9000000000000004
