opprettet,Første,Andre,Tredje,Fjerde,Femte,Sjette,Syvende
2021-03-31,135.0,181.0,311.0,83.0,49.95,90.5,404.3
2021-04-01,3.0,3.0,13.0,2.0,1.1099999999999999,1.5,16.900000000000002
2021-04-02,1.0,2.0,7.0,,0.37,1.0,9.1
2021-04-03,20.0,23.0,42.0,13.0,7.4,11.5,54.6
2021-04-04,,2.0,15.0,,,1.0,19.5
2021-04-05,4.0,1.0,18.0,2.0,1.48,0.5,23.400000000000002
2021-04-06,273.0,595.0,425.0,194.0,101.01,297.5,552.5
2021-04-07,168.0,409.0,258.0,108.0,62.16,204.5,335.40000000000003
2021-04-08,58.0,254.0,139.0,42.0,21.46,127.0,180.70000000000002
2021-04-09,80.0,280.0,142.0,54.0,29.6,140.0,184.6
2021-04-10,8.0,17.0,31.0,24.0,2.96,8.5,40.300000000000004
2021-04-11,,5.0,11.0,1.0,,2.5,14.3
2021-04-12,108.0,326.0,191.0,78.0,39.96,163.0,248.3
2021-04-13,73.0,279.0,153.0,57.0,27.009999999999998,139.5,198.9
2021-04-14,118.0,368.0,141.0,41.0,43.66,184.0,183.3
2021-04-15,209.0,1107.0,99.0,37.0,77.33,553.5,128.70000000000002
2021-04-16,118.0,402.0,118.0,65.0,43.66,201.0,153.4
2021-04-17,17.0,25.0,26.0,26.0,6.29,12.5,33.800000000000004
2021-04-18,2.0,4.0,14.0,1.0,0.74,2.0,18.2
2021-04-19,121.0,735.0,181.0,116.0,44.769999999999996,367.5,235.3
2021-04-20,123.0,508.0,170.0,101.0,45.51,254.0,221.0
2021-04-21,140.0,446.0,155.0,89.0,51.8,223.0,201.5
2021-04-22,246.0,385.0,129.0,73.0,91.02,192.5,167.70000000000002
2021-04-23,220.0,320.0,104.0,61.0,81.4,160.0,135.20000000000002
2021-04-24,22.0,20.0,26.0,21.0,8.14,10.0,33.800000000000004
2021-04-25,18.0,10.0,19.0,14.0,6.66,5.0,24.7
2021-04-26,372.0,433.0,203.0,188.0,137.64,216.5,263.90000000000003
2021-04-27,166.0,332.0,97.0,64.0,61.42,166.0,126.10000000000001
2021-04-28,217.0,249.0,79.0,40.0,80.28999999999999,124.5,102.7
2021-04-29,178.0,245.0,95.0,41.0,65.86,122.5,123.5
2021-04-30,523.0,259.0,374.0,145.0,193.51,129.5,486.2
2021-05-01,1.0,3.0,9.0,,0.37,1.5,11.700000000000001
2021-05-02,1.0,1.0,9.0,1.0,0.37,0.5,11.700000000000001
2021-05-03,615.0,470.0,460.0,176.0,227.55,235.0,598.0
2021-05-04,216.0,336.0,176.0,60.0,79.92,168.0,228.8
2021-05-05,186.0,378.0,117.0,63.0,68.82,189.0,152.1
2021-05-06,215.0,284.0,157.0,47.0,79.55,142.0,204.1
2021-05-07,332.0,334.0,179.0,76.0,122.84,167.0,232.70000000000002
2021-05-08,2.0,6.0,3.0,17.0,0.74,3.0,3.9000000000000004
2021-05-09,5.0,5.0,13.0,6.0,1.85,2.5,16.900000000000002
2021-05-10,565.0,538.0,376.0,192.0,209.05,269.0,488.8
2021-05-11,192.0,381.0,141.0,42.0,71.03999999999999,190.5,183.3
2021-05-12,133.0,302.0,86.0,44.0,49.21,151.0,111.8
2021-05-13,2.0,1.0,2.0,1.0,0.74,0.5,2.6
2021-05-14,225.0,234.0,147.0,56.0,83.25,117.0,191.1
2021-05-15,43.0,21.0,26.0,13.0,15.91,10.5,33.800000000000004
2021-05-16,2.0,3.0,18.0,,0.74,1.5,23.400000000000002
2021-05-17,1.0,,3.0,,0.37,,3.9000000000000004
2021-05-18,513.0,532.0,365.0,111.0,189.81,266.0,474.5
2021-05-19,187.0,345.0,162.0,42.0,69.19,172.5,210.6
2021-05-20,273.0,318.0,130.0,43.0,101.01,159.0,169.0
2021-05-21,326.0,287.0,103.0,28.0,120.62,143.5,133.9
2021-05-22,1.0,3.0,5.0,,0.37,1.5,6.5
2021-05-23,107.0,65.0,78.0,16.0,39.589999999999996,32.5,101.4
2021-05-24,2.0,3.0,6.0,2.0,0.74,1.5,7.800000000000001
2021-05-25,520.0,514.0,326.0,103.0,192.4,257.0,423.8
2021-05-26,296.0,454.0,109.0,61.0,109.52,227.0,141.70000000000002
2021-05-27,191.0,258.0,82.0,26.0,70.67,129.0,106.60000000000001
2021-05-28,279.0,290.0,137.0,35.0,103.23,145.0,178.1
2021-05-29,,4.0,1.0,,,2.0,1.3
2021-05-30,4.0,3.0,19.0,1.0,1.48,1.5,24.7
2021-05-31,790.0,532.0,593.0,141.0,292.3,266.0,770.9
2021-06-01,366.0,422.0,298.0,74.0,135.42,211.0,387.40000000000003
2021-06-02,255.0,374.0,146.0,52.0,94.35,187.0,189.8
2021-06-03,293.0,302.0,119.0,41.0,108.41,151.0,154.70000000000002
2021-06-04,266.0,262.0,135.0,29.0,98.42,131.0,175.5
2021-06-05,13.0,5.0,9.0,1.0,4.81,2.5,11.700000000000001
2021-06-06,3.0,2.0,18.0,,1.1099999999999999,1.0,23.400000000000002
2021-06-07,553.0,448.0,368.0,98.0,204.60999999999999,224.0,478.40000000000003
2021-06-08,259.0,346.0,155.0,60.0,95.83,173.0,201.5
2021-06-09,207.0,270.0,86.0,32.0,76.59,135.0,111.8
2021-06-10,247.0,309.0,128.0,34.0,91.39,154.5,166.4
2021-06-11,268.0,214.0,129.0,33.0,99.16,107.0,167.70000000000002
2021-06-12,,4.0,,3.0,,2.0,
2021-06-13,1.0,5.0,8.0,1.0,0.37,2.5,10.4
2021-06-14,597.0,440.0,320.0,94.0,220.89,220.0,416.0
2021-06-15,297.0,333.0,147.0,44.0,109.89,166.5,191.1
2021-06-16,273.0,321.0,101.0,39.0,101.01,160.5,131.3
2021-06-17,239.0,311.0,88.0,31.0,88.42999999999999,155.5,114.4
2021-06-18,332.0,278.0,166.0,36.0,122.84,139.0,215.8
2021-06-19,46.0,27.0,36.0,21.0,17.02,13.5,46.800000000000004
2021-06-20,1.0,4.0,2.0,,0.37,2.0,2.6
2021-06-21,583.0,514.0,325.0,95.0,215.71,257.0,422.5
2021-06-22,262.0,335.0,119.0,46.0,96.94,167.5,154.70000000000002
2021-06-23,201.0,264.0,104.0,39.0,74.37,132.0,135.20000000000002
2021-06-24,144.0,301.0,99.0,33.0,53.28,150.5,128.70000000000002
2021-06-25,284.0,292.0,138.0,49.0,105.08,146.0,179.4
2021-06-26,36.0,24.0,19.0,11.0,13.32,12.0,24.7
2021-06-27,1.0,5.0,13.0,1.0,0.37,2.5,16.900000000000002
2021-06-28,485.0,497.0,281.0,80.0,179.45,248.5,365.3
2021-06-29,198.0,314.0,123.0,35.0,73.26,157.0,159.9
